cardname,cardnumber,imageurl,setname,rarity,setcode
Ansler the Magical Swordsman,RD/ST01-JP003,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15152&ciid=1&enc=YN4MXf1ZR5_oE9T_uUnLJA&app=tournament&request_locale=ja,スターターデッキ 遊我 － 切り開け！ セブンスロード！！ －,N,RD/ST01
Ansler the Magical Swordsman,RD/ST01-JP003,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15152&ciid=1&enc=YN4MXf1ZR5_oE9T_uUnLJA&app=tournament&request_locale=ja,スターターデッキセット － 遊我 VS ルーク －,N,RD/ST01
Ancient Turtle Protector,RD/SBD3-JP020,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15195&ciid=1&enc=C1cC6g0s_zkhg0yI1HT--Q&app=tournament&request_locale=ja,最強バトルデッキ　ガクト　－魔将参陣－,N,RD/SBD3
Ancient Turtle Protector,RD/KP01-JP003,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15195&ciid=1&enc=C1cC6g0s_zkhg0yI1HT--Q&app=tournament&request_locale=ja,デッキ改造パック 超速のラッシュロード!!,N,RD/KP01
Amusi Performer,RD/ATR1-JP014,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,アトラクションパック,N,RD/ATR1
Amusi Performer,RD/B224-JP002,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,バトルパック 2022 Vol.4,N,RD/B224
Amusi Performer,RD/B224-JP002,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,バトルパック 2022 Vol.4,SR,RD/B224
Amusi Performer,RD/SBD4-JP010,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,最強バトルデッキ　ロミン　－サイキックビート－,N,RD/SBD4
Amusi Performer,RD/CP01-JP031,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,キャラクターパック － ガクト・ロア・ロミン －,R,RD/CP01
Ancient Arise Dragon,RD/SD0A-JP010,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,ストラクチャーデッキ 究極の青眼伝説,N,RD/SD0A
Ancient Arise Dragon,RD/SA03-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,シークレットエースパックVol.3,SE,RD/SA03
Ancient Arise Dragon,RD/KP03-JP024,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,デッキ改造パック 幻撃のミラージュインパクト!!,UR,RD/KP03
Anchor Moray,RD/KP03-JP034,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15808&ciid=1&enc=H3gmJ3zxWmw3dCDyVg1PBg&app=tournament&request_locale=ja,デッキ改造パック 幻撃のミラージュインパクト!!,R,RD/KP03
Ants Running About,RD/KP04-JP009,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16132&ciid=1&enc=miRGwdmG8cxrtBAVHRU6Rg&app=tournament&request_locale=ja,デッキ改造パック 宿命のパワーデストラクション!!,N,RD/KP04
Antrebellion of the Rebellion,RD/KP04-JP033,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16154&ciid=1&enc=sXBwpm6idcQoqiSUzU9-gw&app=tournament&request_locale=ja,デッキ改造パック 宿命のパワーデストラクション!!,N,RD/KP04
Anmagmabear,RD/SD04-JP021,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16155&ciid=1&enc=zbyGSdWuuhLLFm4lJq9oNw&app=tournament&request_locale=ja,最強バトルデッキ　マナブ　－炎のケミストニャードロー！－,N,RD/SD04
Anmagmabear,RD/KP04-JP034,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16155&ciid=1&enc=zbyGSdWuuhLLFm4lJq9oNw&app=tournament&request_locale=ja,デッキ改造パック 宿命のパワーデストラクション!!,R,RD/KP04
Amabie,RD/21CC-JP001,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16185&ciid=1&enc=QOjYTKlfyhNNgG95uvy3Zg&app=tournament&request_locale=ja,「あまびえさん」プレゼントキャンペーン,N,RD/21CC
Acacia the Shadow Flower Priestess,RD/KP05-JP027,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16333&ciid=1&enc=NIcALnc4xESZDIw7vlXsmw&app=tournament&request_locale=ja,デッキ改造パック　躍動のエターナルライブ！！,N,RD/KP05
"Agariel, the Finest Sushi Fairy",RD/S223-JP005,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16606&ciid=1&enc=XCg9z26YRbR3si7do2SUuQ&app=tournament&request_locale=ja,シークレットエースパック 2022 Vol.3,SE,RD/S223
"Agariel, the Finest Sushi Fairy",RD/MAX2-JP039,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16606&ciid=1&enc=XCg9z26YRbR3si7do2SUuQ&app=tournament&request_locale=ja,マキシマム超絶進化パック,SR,RD/MAX2
Air Formula Eagle,RD/KP06-JP022,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16679&ciid=1&enc=_IlFpmTRNaqhVI5pbI2aQg&app=tournament&request_locale=ja,デッキ改造パック　激闘のサンダーストーム！！,RR,RD/KP06
Air Formula Eagle,RD/KP06-JP022,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16679&ciid=1&enc=_IlFpmTRNaqhVI5pbI2aQg&app=tournament&request_locale=ja,デッキ改造パック　激闘のサンダーストーム！！,UR,RD/KP06
Accel Wonder Splat,RD/MRP2-JP010,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16769&ciid=1&enc=t_Fmi33WaTxyxqFNJlwh8w&app=tournament&request_locale=ja,メガロードパック２,N,RD/MRP2
Accel Wonder Splat,RD/SBD1-JP009,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16769&ciid=1&enc=t_Fmi33WaTxyxqFNJlwh8w&app=tournament&request_locale=ja,最強バトルデッキ　遊我　－ハイパーマシンロード－,N,RD/SBD1
Accel Wonder Flare,RD/MRP2-JP011,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16770&ciid=1&enc=ve6Y3XwmnRRzBvJIZ7-vWw&app=tournament&request_locale=ja,メガロードパック２,N,RD/MRP2
Accel Wonder Flare,RD/SBD1-JP010,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16770&ciid=1&enc=ve6Y3XwmnRRzBvJIZ7-vWw&app=tournament&request_locale=ja,最強バトルデッキ　遊我　－ハイパーマシンロード－,N,RD/SBD1
Amazing Dealer,RD/5TH1-JP063,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,P+SR,RD/5TH1
Amazing Dealer,RD/MRP2-JP014,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,メガロードパック２,R,RD/MRP2
Amazing Dealer,RD/MRP2-JP014,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,メガロードパック２,SE,RD/MRP2
Amazing Dealer,RD/B222-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,バトルパック 2022 Vol.2,N,RD/B222
Amazing Dealer,RD/B222-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,バトルパック 2022 Vol.2,SR,RD/B222
Amazing Dealer,RD/GRD0-JP008,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,ゴーラッシュデッキ　ボーナスカード,N,RD/GRD0
Amazing Dealer,RD/SBD1-JP019,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,最強バトルデッキ　遊我　－ハイパーマシンロード－,N,RD/SBD1
Amusi Howling Performer,RD/EXT1-JP029,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16913&ciid=1&enc=Ih6_qIIAs9Veh3YVWdaKEg&app=tournament&request_locale=ja,エクストラ超越強化パック,R,RD/EXT1
The All-Seeing White Tiger,RD/SST1-JP022,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16961&ciid=1&enc=ZB1ryEOJ0texEIPUYrT4Kw&app=tournament&request_locale=ja,最強ジャンプ2022年5月号付録 最強スターターデッキ,N,RD/SST1
The All-Seeing White Tiger,RD/B003-JP008,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16961&ciid=1&enc=ZB1ryEOJ0texEIPUYrT4Kw&app=tournament&request_locale=ja,バトルパックVol.3,N,RD/B003
Achacha Catcher,RD/KP07-JP005,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16971&ciid=1&enc=PWuZ7dokC3FsajnlMKsUeQ&app=tournament&request_locale=ja,デッキ改造パック　混沌のオメガライジング！！,N,RD/KP07
Ancient Arrive Dragon,RD/SD0A-JP011,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17198&ciid=1&enc=xDBqQmkpg2uhUSvNYG92wA&app=tournament&request_locale=ja,ストラクチャーデッキ 究極の青眼伝説,N,RD/SD0A
Ancient Arrive Dragon,RD/GRP1-JP009,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17198&ciid=1&enc=xDBqQmkpg2uhUSvNYG92wA&app=tournament&request_locale=ja,ゴールドラッシュパック,GRR,RD/GRP1
Ancient Arrive Dragon,RD/GRP1-JP009,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17198&ciid=1&enc=xDBqQmkpg2uhUSvNYG92wA&app=tournament&request_locale=ja,ゴールドラッシュパック,UR,RD/GRP1
Alligator's Sword,RD/LGP1-JP030,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17217&ciid=1&enc=PiWI9T6BnLt7PSI5hH_mnQ&app=tournament&request_locale=ja,レジェンド覚醒パック,N,RD/LGP1
Alligator's Sword,RD/GRP1-JP035,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17217&ciid=1&enc=PiWI9T6BnLt7PSI5hH_mnQ&app=tournament&request_locale=ja,ゴールドラッシュパック,N,RD/GRP1
Alligator's Sword Dragon,RD/B004-JP001,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17269&ciid=1&enc=DKmcQzXyklYUWnwEY1VfIw&app=tournament&request_locale=ja,バトルパックVol.4,N,RD/B004
Alligator's Sword Dragon,RD/B004-JP001,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17269&ciid=1&enc=DKmcQzXyklYUWnwEY1VfIw&app=tournament&request_locale=ja,バトルパックVol.4,SR,RD/B004
Alligator's Sword Dragon,RD/B004-JP001,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17269&ciid=1&enc=DKmcQzXyklYUWnwEY1VfIw&app=tournament&request_locale=ja,バトルパックVol.4,UR,RD/B004
Ancient Lizard Warrior,RD/KP08-JP003,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17279&ciid=1&enc=d-MgZiEsllO4g9b773qw_A&app=tournament&request_locale=ja,デッキ改造パック　創造のマスターロード！！,N,RD/KP08
Anglercoilfish,RD/KP08-JP007,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17283&ciid=1&enc=Pkj3qFstlsjSVcjbiVWVag&app=tournament&request_locale=ja,デッキ改造パック　創造のマスターロード！！,R,RD/KP08
Accel Wonder Pebble,RD/RLP1-JP001,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17485&ciid=1&enc=qbNevxfi3TBcWklvrX74zA&app=tournament&request_locale=ja,ラッシュデュエルLP１巻同梱カード,UR,RD/RLP1
Alien Shocktrooper,RD/GRD0-JP002,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17560&ciid=1&enc=SyjMfiBPHXc8Hk1mV6ZFOA&app=tournament&request_locale=ja,ゴーラッシュデッキ　ボーナスカード,P,RD/GRD0
Ama Lilith,RD/B241-JP002,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17684&ciid=1&enc=xT6NhNZNteXfa2AHv7EK3A&app=tournament&request_locale=ja,バトルパック 2024 Vol.1,N,RD/B241
Ama Lilith,RD/B241-JP002,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17684&ciid=1&enc=xT6NhNZNteXfa2AHv7EK3A&app=tournament&request_locale=ja,バトルパック 2024 Vol.1,SR,RD/B241
Ama Lilith,RD/MRP1-JP042,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17684&ciid=1&enc=xT6NhNZNteXfa2AHv7EK3A&app=tournament&request_locale=ja,メガロードパック,N,RD/MRP1
Abyss Soldier,RD/LGP2-JP068,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17848&ciid=1&enc=9PnLZjqtS5yyk5Un0Ces1g&app=tournament&request_locale=ja,真・レジェンド覚醒パック,P+UR,RD/LGP2
Abyss Soldier,RD/LGP2-JP068,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17848&ciid=1&enc=9PnLZjqtS5yyk5Un0Ces1g&app=tournament&request_locale=ja,真・レジェンド覚醒パック,SR,RD/LGP2
Abyss Soldier,RD/KP10-JP000,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17848&ciid=1&enc=9PnLZjqtS5yyk5Un0Ces1g&app=tournament&request_locale=ja,デッキ改造パック　破滅のレクイエム！！,RR,RD/KP10
Abyss Soldier,RD/KP10-JP000,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17848&ciid=1&enc=9PnLZjqtS5yyk5Un0Ces1g&app=tournament&request_locale=ja,デッキ改造パック　破滅のレクイエム！！,SE,RD/KP10
Aliyen 33,RD/KP10-JP012,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17860&ciid=1&enc=faNtP3YtFNQMa3IpF8TbtA&app=tournament&request_locale=ja,デッキ改造パック　破滅のレクイエム！！,N,RD/KP10
