cardname,cardnumber,imageurl,setname,rarity,setcode
Ansler the Magical Swordsman,RD/ST01-JP003,images\15152_1.jpg,スターターデッキ 遊我 － 切り開け！ セブンスロード！！ －,N,RD/ST01
Ansler the Magical Swordsman,RD/ST01-JP003,images\15152_1.jpg,スターターデッキセット － 遊我 VS ルーク －,N,RD/ST01
Ancient Turtle Protector,RD/SBD3-JP020,images\15195_1.jpg,最強バトルデッキ　ガクト　－魔将参陣－,N,RD/SBD3
Ancient Turtle Protector,RD/KP01-JP003,images\15195_1.jpg,デッキ改造パック 超速のラッシュロード!!,N,RD/KP01
Amusi Performer,RD/ATR1-JP014,images\15679_1.jpg,アトラクションパック,N,RD/ATR1
Amusi Performer,RD/B224-JP002,images\15679_1.jpg,バトルパック 2022 Vol.4,N,RD/B224
Amusi Performer,RD/B224-JP002,images\15679_1.jpg,バトルパック 2022 Vol.4,SR,RD/B224
Amusi Performer,RD/SBD4-JP010,images\15679_1.jpg,最強バトルデッキ　ロミン　－サイキックビート－,N,RD/SBD4
Amusi Performer,RD/CP01-JP031,images\15679_1.jpg,キャラクターパック － ガクト・ロア・ロミン －,R,RD/CP01
Ancient Arise Dragon,RD/SD0A-JP010,images\15799_1.jpg,ストラクチャーデッキ 究極の青眼伝説,N,RD/SD0A
Ancient Arise Dragon,RD/SA03-JP004,images\15799_1.jpg,シークレットエースパックVol.3,SE,RD/SA03
Ancient Arise Dragon,RD/KP03-JP024,images\15799_1.jpg,デッキ改造パック 幻撃のミラージュインパクト!!,UR,RD/KP03
Anchor Moray,RD/KP03-JP034,images\15808_1.jpg,デッキ改造パック 幻撃のミラージュインパクト!!,R,RD/KP03
Ants Running About,RD/KP04-JP009,images\16132_1.jpg,デッキ改造パック 宿命のパワーデストラクション!!,N,RD/KP04
Antrebellion of the Rebellion,RD/KP04-JP033,images\16154_1.jpg,デッキ改造パック 宿命のパワーデストラクション!!,N,RD/KP04
Anmagmabear,RD/SD04-JP021,images\16155_1.jpg,最強バトルデッキ　マナブ　－炎のケミストニャードロー！－,N,RD/SD04
Anmagmabear,RD/KP04-JP034,images\16155_1.jpg,デッキ改造パック 宿命のパワーデストラクション!!,R,RD/KP04
Amabie,RD/21CC-JP001,images\16185_1.jpg,「あまびえさん」プレゼントキャンペーン,N,RD/21CC
Acacia the Shadow Flower Priestess,RD/KP05-JP027,images\16333_1.jpg,デッキ改造パック　躍動のエターナルライブ！！,N,RD/KP05
"Agariel, the Finest Sushi Fairy",RD/S223-JP005,images\16606_1.jpg,シークレットエースパック 2022 Vol.3,SE,RD/S223
"Agariel, the Finest Sushi Fairy",RD/MAX2-JP039,images\16606_1.jpg,マキシマム超絶進化パック,SR,RD/MAX2
Air Formula Eagle,RD/KP06-JP022,images\16679_1.jpg,デッキ改造パック　激闘のサンダーストーム！！,RR,RD/KP06
Air Formula Eagle,RD/KP06-JP022,images\16679_1.jpg,デッキ改造パック　激闘のサンダーストーム！！,UR,RD/KP06
Accel Wonder Splat,RD/MRP2-JP010,images\16769_1.jpg,メガロードパック２,N,RD/MRP2
