cardname,cardnumber,rarity,rarity_full,setcode,setname,cid,ciid,image_mapping_source,image_mapping_notes,imageurl,local_path,validation_status,validation_notes
Ansler the Magical Swordsman,RD/ST01-JP003,N,ノーマル仕様,RD/ST01,スターターデッキ 遊我 － 切り開け！ セブンスロード！！ －,15152,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15152&ciid=1&enc=YN4MXf1ZR5_oE9T_uUnLJA&app=tournament&request_locale=ja,images\15152_1.jpg,OK,
Ansler the Magical Swordsman,RD/ST01-JP003,N,ノーマル仕様,RD/ST01,スターターデッキセット － 遊我 VS ルーク －,15152,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15152&ciid=1&enc=YN4MXf1ZR5_oE9T_uUnLJA&app=tournament&request_locale=ja,images\15152_1.jpg,OK,
Ancient Turtle Protector,RD/SBD3-JP020,N,ノーマル仕様,RD/SBD3,最強バトルデッキ　ガクト　－魔将参陣－,15195,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15195&ciid=1&enc=C1cC6g0s_zkhg0yI1HT--Q&app=tournament&request_locale=ja,images\15195_1.jpg,OK,
Ancient Turtle Protector,RD/KP01-JP003,N,ノーマル仕様,RD/KP01,デッキ改造パック 超速のラッシュロード!!,15195,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15195&ciid=1&enc=C1cC6g0s_zkhg0yI1HT--Q&app=tournament&request_locale=ja,images\15195_1.jpg,OK,
Amusi Performer,RD/ATR1-JP014,N,ノーマル仕様,RD/ATR1,アトラクションパック,15679,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,images\15679_1.jpg,OK,
Amusi Performer,RD/B224-JP002,N,ノーマル仕様,RD/B224,バトルパック 2022 Vol.4,15679,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,images\15679_1.jpg,OK,
Amusi Performer,RD/B224-JP002,SR,スーパーレア仕様,RD/B224,バトルパック 2022 Vol.4,15679,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,images\15679_1.jpg,OK,
Amusi Performer,RD/SBD4-JP010,N,ノーマル仕様,RD/SBD4,最強バトルデッキ　ロミン　－サイキックビート－,15679,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,images\15679_1.jpg,OK,
Amusi Performer,RD/CP01-JP031,R,レア仕様,RD/CP01,キャラクターパック － ガクト・ロア・ロミン －,15679,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,images\15679_1.jpg,OK,
Ancient Arise Dragon,RD/SD0A-JP010,N,ノーマル仕様,RD/SD0A,ストラクチャーデッキ 究極の青眼伝説,15799,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,images\15799_1.jpg,OK,
