page_title,english_name,japanese_name,search_text,match_status,konami_cid,konami_name,konami_url,notes
Abad the Negahell Emperor,Abad the Negahell Emperor,闇獄皇アバド,闇獄皇アバド,MATCHED,22043,闇獄皇アバド,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=22043,1 result(s)
Abare Ushioni (Rush Duel),Abare Ushioni,暴れ牛鬼,暴れ牛鬼,MATCHED,17890,暴れ牛鬼,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17890,1 result(s)
Absolute Lord of D.,Absolute Lord of D.,ロード・オブ・ドラゴン－ドラゴンの絶対者－,ロード・オブ・ドラゴン－ドラゴンの絶対者－,MATCHED,19426,ロード・オブ・ドラゴン－ドラゴンの絶対者－,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19426,1 result(s)
Absorbing Fiend's Mirror,Absorbing Fiend's Mirror,吸収するデビルズ・ミラー,吸収するデビルズ・ミラー,MATCHED,23242,吸収するデビルズ・ミラー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=23242,1 result(s)
Abyss Soldier (Rush Duel),Abyss Soldier,アビス・ソルジャー,アビス・ソルジャー,MATCHED,17848,アビス・ソルジャー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17848,1 result(s)
Abyssal Dragon Lord Abyss Poseidra,Abyssal Dragon Lord Abyss Poseidra,深淵竜神アビス・ポセイドラ,深淵竜神アビス・ポセイドラ,MATCHED,18758,深淵竜神アビス・ポセイドラ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18758,manual review: exact Konami name
Abyssal Dragon Lord Abyss Poseidra (L),Abyssal Dragon Lord Abyss Poseidra [L,深淵竜神アビス・ポセイドラ［Ｌ］,深淵竜神アビス・ポセイドラ［Ｌ］,MATCHED,18757,深淵竜神アビス・ポセイドラ［Ｌ］,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18757,1 result(s)
Abyssal Dragon Lord Abyss Poseidra (R),Abyssal Dragon Lord Abyss Poseidra [R,深淵竜神アビス・ポセイドラ［Ｒ］,深淵竜神アビス・ポセイドラ［Ｒ］,MATCHED,18759,深淵竜神アビス・ポセイドラ［Ｒ］,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18759,1 result(s)
Abyssal Sea Dragon Abyss Kraken,Abyssal Sea Dragon Abyss Kraken,深淵海竜アビス・クラーケン,深淵海竜アビス・クラーケン,MATCHED,18761,深淵海竜アビス・クラーケン,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18761,manual review: exact Konami name
Abyssal Sea Dragon Abyss Kraken (L),Abyssal Sea Dragon Abyss Kraken [L,深淵海竜アビス・クラーケン［Ｌ］,深淵海竜アビス・クラーケン［Ｌ］,MATCHED,18760,深淵海竜アビス・クラーケン［Ｌ］,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18760,1 result(s)
Abyssal Sea Dragon Abyss Kraken (R),Abyssal Sea Dragon Abyss Kraken [R,深淵海竜アビス・クラーケン［Ｒ］,深淵海竜アビス・クラーケン［Ｒ］,MATCHED,18762,深淵海竜アビス・クラーケン［Ｒ］,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18762,1 result(s)
Abysskite Ange,Abysskite Ange,アビスカイト・アンジュ,アビスカイト・アンジュ,MATCHED,19301,アビスカイト・アンジュ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19301,manual review: exact Konami name
Abysskite Kaleido-Karen,Abysskite Kaleido-Karen,アビスカイト・カレイドカレン,アビスカイト・カレイドカレン,MATCHED,21987,アビスカイト・カレイドカレン,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21987,1 result(s)
Abysskite Karen,Abysskite Karen,アビスカイト・カレン,アビスカイト・カレン,MATCHED,19303,アビスカイト・カレン,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19303,manual review: exact Konami name
Abysskite Liem,Abysskite Liem,アビスカイト・リーム,アビスカイト・リーム,MATCHED,19302,アビスカイト・リーム,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19302,1 result(s)
Abysskite Miracle Girls,Abysskite Miracle Girls,アビスカイト・ミラクルガールズ,アビスカイト・ミラクルガールズ,MATCHED,19778,アビスカイト・ミラクルガールズ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19778,1 result(s)
Abysskite Ulti-Ange,Abysskite Ulti-Ange,アビスカイト・アルティアンジュ,アビスカイト・アルティアンジュ,MATCHED,21508,アビスカイト・アルティアンジュ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21508,1 result(s)
Abysslayer Apsaras,Abysslayer Apsaras,アビスレイヤー・アプサラス,アビスレイヤー・アプサラス,MATCHED,18769,アビスレイヤー・アプサラス,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18769,1 result(s)
Abysslayer Cetus,Abysslayer Cetus,アビスレイヤー・ケートス,アビスレイヤー・ケートス,MATCHED,18771,アビスレイヤー・ケートス,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18771,1 result(s)
Abysslayer Leviaknight,Abysslayer Leviaknight,アビスレイヤー・リヴァイアナイト,アビスレイヤー・リヴァイアナイト,MATCHED,19300,アビスレイヤー・リヴァイアナイト,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19300,1 result(s)
Abysslayer Makara,Abysslayer Makara,アビスレイヤー・マカラ,アビスレイヤー・マカラ,MATCHED,18770,アビスレイヤー・マカラ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18770,1 result(s)
Abysslayer Quintiamat,Abysslayer Quintiamat,アビスレイヤー・クインティアマット,アビスレイヤー・クインティアマット,MATCHED,19969,アビスレイヤー・クインティアマット,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19969,1 result(s)
Abysslayer Vodyanoy,Abysslayer Vodyanoy,アビスレイヤー・ヴォジャノーイ,アビスレイヤー・ヴォジャノーイ,MATCHED,18772,アビスレイヤー・ヴォジャノーイ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18772,1 result(s)
Abysspiny Turtle,Abysspiny Turtle,アビスパイニー・タートル,アビスパイニー・タートル,MATCHED,19797,アビスパイニー・タートル,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19797,1 result(s)
Acacia the Shadow Flower Priestess,Acacia the Shadow Flower Priestess,花牙僧のミモザ,花牙僧のミモザ,MATCHED,16333,花牙僧のミモザ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16333,1 result(s)
Accel Wonder Dark,Accel Wonder Dark,アクセルワンダー・ダーク,アクセルワンダー・ダーク,MATCHED,21649,アクセルワンダー・ダーク,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21649,1 result(s)
Accel Wonder Flare,Accel Wonder Flare,アクセルワンダー・フレア,アクセルワンダー・フレア,MATCHED,16770,アクセルワンダー・フレア,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16770,1 result(s)
Accel Wonder Light,Accel Wonder Light,アクセルワンダー・ライト,アクセルワンダー・ライト,MATCHED,19548,アクセルワンダー・ライト,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19548,1 result(s)
Accel Wonder Pebble,Accel Wonder Pebble,アクセルワンダー・ペブル,アクセルワンダー・ペブル,MATCHED,17485,アクセルワンダー・ペブル,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17485,1 result(s)
Accel Wonder Splat,Accel Wonder Splat,アクセルワンダー・スプラ,アクセルワンダー・スプラ,MATCHED,16769,アクセルワンダー・スプラ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16769,1 result(s)
Achacha Catcher,Achacha Catcher,アチャチャキャッチャー,アチャチャキャッチャー,MATCHED,16971,アチャチャキャッチャー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16971,1 result(s)
Acoustiglee,Acoustiglee,アンプラーグリー,アンプラーグリー,MATCHED,18241,アンプラーグリー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18241,1 result(s)
Advance Form,Advance Form,アドバンス・フォーム,アドバンス・フォーム,MATCHED,20329,アドバンス・フォーム,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20329,1 result(s)
Aero Sorcerer,Aero Sorcerer,エアロ・ソーサラー,エアロ・ソーサラー,MATCHED,18931,エアロ・ソーサラー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18931,1 result(s)
"Agariel, the Finest Sushi Fairy","Agariel, the Finest Sushi Fairy",極上寿司天使アガリブエル,極上寿司天使アガリブエル,MATCHED,16606,極上寿司天使アガリブエル,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16606,1 result(s)
Agent Miscast,Agent Miscast,秘密捜査官ミスキャスト,秘密捜査官ミスキャスト,MATCHED,19295,秘密捜査官ミスキャスト,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19295,1 result(s)
Agent Mishap,Agent Mishap,秘密捜査官ミスファイア,秘密捜査官ミスファイア,MATCHED,19970,秘密捜査官ミスファイア,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19970,1 result(s)
Agent Mislead,Agent Mislead,秘密捜査官ミスリード,秘密捜査官ミスリード,MATCHED,19298,秘密捜査官ミスリード,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19298,1 result(s)
Agent Mismatch,Agent Mismatch,秘密捜査官ミスマッチ,秘密捜査官ミスマッチ,MATCHED,19297,秘密捜査官ミスマッチ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19297,1 result(s)
Agent Mistake,Agent Mistake,秘密捜査官ミステイク,秘密捜査官ミステイク,MATCHED,19296,秘密捜査官ミステイク,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19296,1 result(s)
Air Formula Eagle,Air Formula Eagle,エア・フォーミュラ・イーグル,エア・フォーミュラ・イーグル,MATCHED,16679,エア・フォーミュラ・イーグル,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16679,1 result(s)
Aise the Snowmaiden of Sacred Splendor,Aise the Snowmaiden of Sacred Splendor,聖麗の凍姫エイス,聖麗の凍姫エイス,MATCHED,21287,聖麗の凍姫エイス,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21287,1 result(s)
Aitsu (Rush Duel),Aitsu,アイツ,アイツ,MATCHED,18652,アイツ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18652,1 result(s)
