cardname,japanese_name,konami_cid,cardnumber,imageurl,ciid,all_ciids,all_imageurls,image_count,needs_image_review,setname,rarity,rarity_full,setcode,release_date,pid,image_mapping_source,image_mapping_notes,source_url
Ansler the Magical Swordsman,魔剣士アンサラー,15152,RD/ST01-JP003,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15152&ciid=1&enc=YN4MXf1ZR5_oE9T_uUnLJA&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15152&ciid=1&enc=YN4MXf1ZR5_oE9T_uUnLJA&app=tournament&request_locale=ja,1,False,スターターデッキ 遊我 － 切り開け！ セブンスロード！！ －,N,ノーマル仕様,RD/ST01,2020-04-04,1000100100000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15152&request_locale=ja
Ansler the Magical Swordsman,魔剣士アンサラー,15152,RD/ST01-JP003,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15152&ciid=1&enc=YN4MXf1ZR5_oE9T_uUnLJA&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15152&ciid=1&enc=YN4MXf1ZR5_oE9T_uUnLJA&app=tournament&request_locale=ja,1,False,スターターデッキセット － 遊我 VS ルーク －,N,ノーマル仕様,RD/ST01,2020-04-04,1000100101500,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15152&request_locale=ja
Ancient Turtle Protector,古の守り亀,15195,RD/SBD3-JP020,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15195&ciid=1&enc=C1cC6g0s_zkhg0yI1HT--Q&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15195&ciid=1&enc=C1cC6g0s_zkhg0yI1HT--Q&app=tournament&request_locale=ja,1,False,最強バトルデッキ　ガクト　－魔将参陣－,N,ノーマル仕様,RD/SBD3,2021-08-21,1000100106000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15195&request_locale=ja
Ancient Turtle Protector,古の守り亀,15195,RD/KP01-JP003,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15195&ciid=1&enc=C1cC6g0s_zkhg0yI1HT--Q&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15195&ciid=1&enc=C1cC6g0s_zkhg0yI1HT--Q&app=tournament&request_locale=ja,1,False,デッキ改造パック 超速のラッシュロード!!,N,ノーマル仕様,RD/KP01,2020-04-11,1000100200000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15195&request_locale=ja
Amusi Performer,アミュージー・パフォーマー,15679,RD/ATR1-JP014,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,1,False,アトラクションパック,N,ノーマル仕様,RD/ATR1,2024-07-21,1000100494000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15679&request_locale=ja
Amusi Performer,アミュージー・パフォーマー,15679,RD/B224-JP002,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,1,False,バトルパック 2022 Vol.4,N,ノーマル仕様,RD/B224,2023-01-01,1000100447000,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15679&request_locale=ja
Amusi Performer,アミュージー・パフォーマー,15679,RD/B224-JP002,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,1,False,バトルパック 2022 Vol.4,SR,スーパーレア仕様,RD/B224,2023-01-01,1000100447000,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15679&request_locale=ja
Amusi Performer,アミュージー・パフォーマー,15679,RD/SBD4-JP010,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,1,False,最強バトルデッキ　ロミン　－サイキックビート－,N,ノーマル仕様,RD/SBD4,2021-08-21,1000100107000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15679&request_locale=ja
Amusi Performer,アミュージー・パフォーマー,15679,RD/CP01-JP031,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15679&ciid=1&enc=gFLIb6e7ODrMrmH4gk8Itw&app=tournament&request_locale=ja,1,False,キャラクターパック － ガクト・ロア・ロミン －,R,レア仕様,RD/CP01,2020-09-19,1000100500000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15679&request_locale=ja
Ancient Arise Dragon,エンシェント・アライズ・ドラゴン,15799,RD/SD0A-JP010,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,1,False,ストラクチャーデッキ 究極の青眼伝説,N,ノーマル仕様,RD/SD0A,2023-09-30,1000100120000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15799&request_locale=ja
